species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Bauhinia_acuruana,275,1666.9000000000003,553,992.1745454545456,919,193.6,96,137.24727272727273,134,25.4683338165283,19.66833305358885,22.847696949351917,22.970832824707,-3.077778,-24.16027,-11.558135323636364,-11.494167,-42.6,-7.292352599999999,-16.574917,5,13,1113.9000000000003,5.800000762939451,97.60000000000002,Bauhinia,0,1,0,0,0,0
Bauhinia_bauhinioides,64,1467.15,868.5500000000001,1203.015625,1152,201.09999999999985,112.15,144.15625,141,26.411041259765632,22.48791618347169,24.69843745231628,25.435416221618652,-6.335278,-25.6,-19.711114125,-19.623333,-57.4870835,-7.0269409000000245,-25.4335,5,7,598.5999999999998,3.923125076293946,88.94999999999985,Bauhinia,0,1,0,0,0,0
Bauhinia_brachycarpa,203,1516.7999999999995,613.1,1000.9064039408864,929,422.4999999999999,145,251.53694581280783,237,20.01166610717773,5.129583454132078,13.942077200401007,14.8083333969116,41.03,15.87,27.846345566502464,28.27,102.392353,32.611,22.54997,5,1,903.6999999999996,14.882082653045654,277.4999999999999,Bauhinia,0,1,0,0,0,0
Bauhinia_brevipes,253,2065.3999999999996,895.8,1474.7154150197628,1521,191,108,147.40316205533597,147,26.12749977111818,20.6908332824707,23.77844198324935,24.283332824707,-1.54079,-23.710914,-14.594205203557312,-14.4,-48.8703052,-7.754833200000008,-21.054144,5,7,1169.5999999999997,5.436666488647482,83,Bauhinia,0,1,0,0,0,0
Bauhinia_divaricata,1617,2557.3999999999987,761,1318.529375386518,1175,574.1999999999998,148.8,288.2813852813854,257,26.6458339691162,21.51083412170414,24.865757028630433,25.404167175293,29.73667,9.73,19.291168834879407,19.416667,-90.85,23.0305448,16.028086799999997,6,1,1796.3999999999987,5.134999847412061,425.3999999999998,Bauhinia,1,1,0,1,0,0
Bauhinia_forficata,758,1992,739.8499999999999,1413.0646437994722,1404,334,127,222.97889182058051,219,24.29875020980832,16.312917327880864,20.018579588401916,19.82083415985105,-2.23,-38.044167,-23.668746186147757,-24.085014,-50.3694825,-12.267337305,-34.07101935,8,1,1252.15,7.985832881927454,207,Bauhinia,0,1,0,0,0,0
Bauhinia_galpinii,447,1242.8,573.4,835.1364653243849,782,192.09999999999997,82.3,134.21700223713646,135,24.76125049591069,16.980416297912612,20.654595486003014,20.6041660308838,19.864329,-30.375,-23.254206812080536,-25.095123,31.192667,-17.446754400000003,-27.7720554,7,7,669.4,7.780834197998079,109.79999999999995,Bauhinia,0,1,0,1,0,0
Bauhinia_longicuspis,233,3136.3999999999987,1551.6,2209.5150214592277,2200,258.5999999999998,122,177.206008583691,168,27.309999465942397,23.574166488647457,25.682206698241664,25.779167175293,8.09082,-20.7,-6.500776031759656,-8.510556,-60.98,4.494140199999996,-14.7615466,3,1,1584.7999999999988,3.73583297729494,136.5999999999998,Bauhinia,0,1,0,0,0,0
Bauhinia_longifolia,373,1921.6,1050,1396.2278820375334,1345,291.19999999999993,124,190.19571045576404,181,25.31583328247072,18.24416580200198,21.685254702938785,21.5874996185303,-2.08333,-25.6182,-19.08885105710456,-20.002778,-47.516667,-11.499999800000008,-23.8379224,4,1,871.5999999999999,7.07166748046874,167.19999999999993,Bauhinia,0,1,0,0,0,0
Bauhinia_monandra,248,2654.3499999999976,733.35,1475.2217741935478,1370,443.89999999999986,86.15,211.47580645161293,184.5,27.195208835601804,20.14479207992553,24.51564174313699,25.22708320617675,22.5,-26.691588,-1.6220647056451611,-5.1206665000000005,33.8629835,19.145830349999994,-18.994623,7,1,1920.9999999999975,7.050416755676274,357.7499999999999,Bauhinia,0,1,0,1,0,0
Bauhinia_pauletia,205,2179.799999999998,851.1999999999999,1333.2439024390246,1190,336.3999999999998,137.8,212.59024390243903,201,28.080833053588876,23.034999847412102,26.00626011825189,26.3999996185303,25,3.8811,14.877505229756098,16.275,-92.758333,19.5219216,8.46711,6,2,1328.599999999998,5.0458332061767734,198.5999999999998,Bauhinia,0,1,0,0,0,1
