species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Vatairea_guianensis,126,3279.25,1744.75,2574.3492063492063,2585,342.25,131,205.484126984127,189.5,27.1250004768372,25.5083327293396,26.29335320185101,26.28125,11.19065,-11.5246,-0.8558115,-1.42472,-66.13499999999999,6.94435,-5.0975,3,1,1534.5,1.6166677474976012,211.25,Vatairea,0,1,0,1,0,0
Vatairea_heteroptera,29,1785.1999999999998,987.6000000000001,1325.9310344827586,1231,353.7999999999999,123,222.86206896551724,205,24.17833366394042,18.98833312988282,22.53649415640995,23.3833332061768,-9.174722,-24.71,-18.634010079310343,-19.676667,-40.1575,-9.3250008,-24.6376664,3,1,797.5999999999997,5.190000534057599,230.7999999999999,Vatairea,0,1,0,1,0,0
Vataireopsis_araroba,29,1804.6,1179.6,1373.3103448275863,1274,372.4,170.4,234.55172413793105,223,24.15166740417482,19.684166336059562,22.59324718343801,23.3875007629395,-14.655556,-22.5,-18.293609310344827,-19.094728,-40.045278,-14.846888800000002,-22.2323332,1,1,625,4.467501068115258,201.99999999999997,Vataireopsis,0,1,0,2,0,0
Vicia_acutifolia,361,1525,1220,1333.185595567867,1305,2013,469,1181.5401662049862,1171,24.0166664123535,19.8208332061768,22.02774696138757,22.3125,32.434361,22.3433,28.09971648199446,28.102,-81.614225,30.175259,25.843933,4,5,305,4.195833206176701,1544,Vicia,1,0,0,0,0,0
Vicia_americana,7495,1506,317.70000000000005,672.1586390927288,557,430,123,242.06150767178164,221,14.155417156219487,1.1820832610130292,7.164164996498435,7.09999990463257,67.456695,18.718333,42.88403536933956,42.4167,-111.650155,53.2425491,33.6760695,8,5,1188.3,12.973333895206459,307,Vicia,1,0,0,0,0,0
Vicia_amoena,1587,1604.6999999999998,325.20000000000005,804.686200378072,551,453,152,312.6477630749843,312,12.9499998092651,-3.4920832633972116,4.5361688692281925,2.33749985694885,62.926,22.32,45.534078640138624,49.29417,109.11,56.1351327,34.7830369,9,4,1279.4999999999998,16.44208307266231,301,Vicia,1,0,0,2,0,0
Vicia_amurensis,584,1537.85,522.05,1009.3321917808222,1107,548,201.3,346.193493150685,332,12.293125152587926,-2.400000059604643,6.12001998743604,7.19166660308838,55.2885,34.28,41.302130113013696,38.252325,129.93939999999998,52.330475,35.4454331,6,4,1015.8,14.69312521219257,346.7,Vicia,1,0,0,3,0,0
Vicia_articulata,617,1010,365.59999999999997,637.291734197731,604,346.19999999999993,91.8,190.27876823338732,177,16.77166709899902,7.882499885559084,12.136804409892672,11.9375,58.38556,27.6785102,42.4710869623987,41.4788291,2.04,50.9749348,37.04,4,12,644.4000000000001,8.889167213439936,254.39999999999992,Vicia,1,0,1,3,0,0
Vicia_benghalensis,2089,1214,313,642.898037338439,591,293.5999999999999,113,185.0387745332696,171,18.06166610717774,11.81999988555908,15.311177596456986,15.3874998092651,50.529339,-37.8525,31.751485588702728,39.128827,-5.164719,43.544528,-33.9378386,7,12,901,6.24166622161866,180.5999999999999,Vicia,1,0,1,2,0,0
Vicia_biennis,191,644,293.5,500.0052356020942,514,552.5,227.5,334.8062827225131,306,9.879166603088375,3.595833301544185,5.539899645051407,4.93333339691162,61.9079,40.2,52.3979344921466,53.112651,45.110664,55.826758,46.577525,4,4,350.5,6.28333330154419,325,Vicia,1,0,0,1,0,0
